Submission ID,Organization Name,Stage,HTSUS code,Product,Date Posted,Response Closes
USTR-2019-0005-0181,kimson chemical inc,Denied,2837201000,potassium ferricyanide ground crystal,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0184,Forward Ascend LLC,Denied,4823700020,Bagasse Fiber Compostable Plates,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0185,The Clorox Company,Denied,2811221000,Silica Gel,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0186,U.S. Nonwovens Corp.,Granted,5603920090,Nonwovens weighing more than 25 g/m...,"Jul 2, 2019","Jul 16, 2019"
USTR-2019-0005-0188,U.S. Nonwovens Corp.,Granted,3923109000,Plastic Tubs and Lidded Trays,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0189,Muenstone LLC,Denied,5309110090,Woven Linen,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0191,U.S. Nonwovens Corp.,Granted,3923500000,Plastic caps and lids for disinfecting..,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0192,U.S. Nonwovens Corp.,Denied,7010905055,Glass Jars,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0194,U.S. Nonwovens Corp.,Denied,8424201000,Trigger Sprayers,"Jun 30, 2019","Jul 14, 2019"
USTR-2019-0005-0198,Mushroomstorm llc,Denied,0712391000,Mushrooms,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0204,"American Global Health Group, LLC",Denied,2202999000,Aloevita,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0205,iRobot Corporation,Granted,8508110000,Residential robotic vacuum cleaners,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0206,"Utility Agency & Import, Inc",Granted,8546200030,Porcelain Electrical Power Insulators,"Sep 17, 2019","Oct 1, 2019"
USTR-2019-0005-0209,Colonial Fence Co. Inc.,Granted,3925900000,Builders Ware of Plastics - Vinyl Fence,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0210,Heyco Metals Inc.,Denied,7409319000,C51000 Phosphor Bronze strip,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0211,Fox Industries Inc.,Granted,6909112000,Machinery parts of porcelain or china,"Jul 2, 2019","Jul 16, 2019"
USTR-2019-0005-0213,Carrier Corporation,Denied,8537109170,Ductless System Interface Control (DSIC),"Sep 30, 2019","Oct 14, 2019"
USTR-2019-0005-0215,Heyco Metals Inc.,Denied,7409319000,C51100 Phosphor Bronze Strip,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0220,The Michaels Companies,Denied,1404909090,Home Décor,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0222,MPOWERD INC.,Denied,8513904000,Solar Powered Lamps,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0223,Inter-Mares Trading Company Inc.,Granted,4601930100,Rattan/Cane  Webbing,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0227,Helm US Corporation,Denied,2916121000,Butyl Acrylate,"Jul 3, 2019","Jul 17, 2019"
USTR-2019-0005-0230,Heyco Metals Inc.,Denied,7409319000,C51900 Phosphor Bronze strip,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0233,"Illumination Station, Inc.",Denied,9405206020,Electric Metal Lamps,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0239,RAHN USA Corporation,Denied,2914399000,Benzophenone,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0241,Heyco Metals Inc.,Denied,7409319000,C52100 Phosphor Bronze strip,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0246,"Ambrosia Enterprises, Inc.",Denied,0307220000,"Scallops, Chlamys or Placopecten, frozen","Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0247,"BreathableBaby, LLC",Granted,9403906005,Breathable Mesh Crib Liner,"Sep 27, 2019","Oct 11, 2019"
USTR-2019-0005-0250,"RMS of Georgia , LLC d/b/a Choice Refrigerants",Granted,3824780020,Choice® R-421B refrigerant gas.,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0252,"Summer Infant, Inc. d/b/a SUMR Brands",Denied,4421999770,Wood safety gates for children and pets,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0253,The Michaels Companies,Denied,3213100000,Art Sets,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0254,"Illumination Station, Inc.",Denied,9405208020,Electric Lamps,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0255,Sommers Incorporated,Denied,5407200000,Woven PP fabric,"Aug 30, 2019","Sep 13, 2019"
USTR-2019-0005-0256,Kohler Co.,Denied,8409919990,Piston Assembly,"Aug 1, 2019","Aug 15, 2019"
USTR-2019-0005-0258,Precision Engine Parts of Nevada,Denied,8409999990,Internal engine components,"Aug 19, 2019","Sep 2, 2019"
USTR-2019-0005-0265,Polyisocyanurate Insulation Manufacturers Association Inc.,Denied,3909310000,Methylene Diphenyl Diisocyanate (MDI),"Aug 19, 2019","Sep 2, 2019"
USTR-2019-0005-0267,"Illumination Station, Inc.",Granted,9405994090,Lamp Shades,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0268,Hussey Seating Company,Granted,9401710031,Upholstered Chair Assembly,"Jul 3, 2019","Jul 17, 2019"
USTR-2019-0005-0270,"MKI Enterprise Group, Inc.",Denied,8708295060,Nerf bar/running board,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0273,Dee Zee Inc.,Granted,8708295060,High Pressure Die-cast Running Board,"Sep 26, 2019","Oct 10, 2019"
USTR-2019-0005-0280,The Michaels Companies,Denied,3213900000,Paint,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0283,RAHN USA Corporation,Denied,2918309000,2 Methyl Benzoyl Benzoate,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0286,Central Purchasing LLC,Denied,8425420000,Portable Floor Jacks,"Aug 6, 2019","Aug 20, 2019"
USTR-2019-0005-0290,The Michaels Companies,Denied,4201006000,Pet Costumes,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0292,"GFH Enterprises, Inc. d/b/a Anji Mountain",Denied,4421919780,Bamboo Office Chair Mats,"Jul 9, 2019","Jul 23, 2019"
USTR-2019-0005-0295,"Thomas Electronics, Inc.",Granted,7011204500,"Face Plate, Fiber Optic, Round #932-039","Sep 30, 2019","Oct 14, 2019"
USTR-2019-0005-0296,UNICRAFT CABINETRY INC.,Denied,9403409060,Cabinets,"Jul 22, 2019","Aug 5, 2019"
USTR-2019-0005-0299,ANXIN WOOD PRODUCTS CORP,Denied,8302106060,kitchen cabinets,"Jul 5, 2019","Jul 19, 2019"
USTR-2019-0005-0302,"Curtis Instruments, Inc",Denied,8471900000,1313 Programmer,"Aug 15, 2019","Aug 29, 2019"
USTR-2019-0005-0303,"Golden Dragon Association, Inc.",Denied,9405106010,2073-LP GMT,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0304,Grand Sinks Corp,Denied,7324100050,Fabricated stainless steel  sinks,"Jul 26, 2019","Aug 9, 2019"
USTR-2019-0005-0308,Promax Engineering LLC,Denied,8708927000,Flange,"Jul 8, 2019","Jul 22, 2019"
USTR-2019-0005-0313,SE Brands Inc.,Denied,9401790011,Draper 4pc Outdoor Seating Set,"Jul 3, 2019","Jul 17, 2019"
USTR-2019-0005-0315,DASTECH INTERNATIONAL INC.,Denied,2926904801,OCTOCRYLENE,"Jul 17, 2019","Jul 31, 2019"
USTR-2019-0005-0316,The Michaels Companies,Denied,4202221500,Wallet,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0324,Livex Lighting,Denied,9405408410,Lighting Fixtures,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0327,"Pyramyd Air, Ltd",Denied,8414801685,Air Venturi Nomad Compressor,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0329,"Supreme Crab & Seafood, Inc.",Denied,1605102059,"Pasteurized Crab Meat, 1 lb. cans","Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0330,The Michaels Companies,Denied,4420904500,Wood Storage,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0339,18th and Walnut LLC,Denied,4202923131,Dakota Backpack,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0341,The Michaels Companies,Denied,4420908000,Display Cases,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0345,"Summer Infant, Inc. d/b/a SUMR Brands",Denied,7323999040,Metal safety gates,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0346,Load Trail LLC,Denied,8425420000,Dump Hoist,"Jul 22, 2019","Aug 5, 2019"
USTR-2019-0005-0348,"Ainak, Inc.",Denied,4016996050,Rubber Cushion AY272672-0260,"Jul 25, 2019","Aug 8, 2019"
USTR-2019-0005-0349,The Michaels Companies,Denied,4421999780,Wood Letters,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0353,"Picnic Time, Inc.",Denied,4602191200,Picnic Baskets made of woven willow,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0355,FCI USA INC.,Granted,2922298190,Para Amino Phenol,"Jul 3, 2019","Jul 17, 2019"
USTR-2019-0005-0356,Stellar Kayaks INC,Granted,8903990500,Kayaks,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0357,Toadfish LLC,Denied,8211930060,Crab Claw Cutter,"Jul 3, 2019","Jul 17, 2019"
USTR-2019-0005-0359,Jasco Products Company LLC,Denied,3402201100,Screen Cleaning Kit,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0360,"Supreme Crab & Seafood, Inc.",Denied,1605104035,"Pasteurized, Frozen Crab Meat","Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0362,"Avanti Linens, Inc.",Denied,8424201000,Lotion Dispenser,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0363,CERAMIC SOLUTIONS INC,Denied,6903900010,REFRACTORY CERAMIC GOODS,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0365,"Sassy Baby, Inc.",Granted,3926209050,PEVA bibs,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0366,"Eastern Silk Mills, Inc.",Granted,5007200085,"Silk greige fabric, 42-50 inches width","Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0371,The Michaels Companies,Denied,4602191200,Baskets,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0375,The Michaels Companies,Denied,4602191800,Baskets,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0377,"Eastern Silk Mills, Inc.",Granted,5007200065,"Silk greige fabric, 50 < to 55 in. width","Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0379,Healthway Home Products Inc,Denied,8537109160,Air Purifier Touch Pad Control & Display,"Jul 3, 2019","Jul 17, 2019"
USTR-2019-0005-0384,Lavaca LLC,Granted,4402100000,CasusGrill,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0385,TVH Parts Co. LLC,Denied,9401790050,Seats,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0387,Colson Group USA,Granted,8716903000,"8.75 x 2.5"" Pneumatic Caster Kit","Jul 23, 2019","Aug 6, 2019"
USTR-2019-0005-0389,Mieco Inc,Denied,2710191600,Jet A-1 Turbine Fuel (Kerosene-type),"Jul 3, 2019","Jul 17, 2019"
USTR-2019-0005-0391,"American Container Equipment and Supplies, LLC",Denied,9403308000,REGAL Ergo Cabinet; document collection,"Jul 15, 2019","Jul 29, 2019"
USTR-2019-0005-0392,"Real Trading, LLC",Denied,7507120000,Nickel Alloy Pipes and Tubes,"Aug 28, 2019","Sep 11, 2019"
USTR-2019-0005-0393,The Michaels Companies,Denied,4602196000,Artificial Floral Arrangement,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0394,DASTECH INTERNATIONAL INC.,Denied,2833295100,Zirconium Basic Sulfate,"Jul 2, 2019","Jul 16, 2019"
USTR-2019-0005-0398,Nedec America Corp,Denied,8512909000,Holder AX159878-4081,"Jul 11, 2019","Jul 25, 2019"
USTR-2019-0005-0399,The Michaels Companies,Denied,4602900000,Christmas Bows,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0403,The Michaels Companies,Denied,4811412100,Washi Tape,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0410,18th and Walnut LLC,Denied,4202216000,Card Case,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0414,The Michaels Companies,Denied,4819100040,Laminated Cardboard Boxes,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0415,18th and Walnut LLC,Denied,4202921500,Card Case,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0417,The Michaels Companies,Denied,4819504040,Cardboard Boxes,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0419,"Hagiwara America, Inc.",Denied,8504504000,Power Inductor for Automotive Airbag,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0420,18th and Walnut LLC,Denied,4202219000,Andra Crossbody Bag,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0423,18th and Walnut LLC,Denied,4202923131,"Landon Caryall Duffel Bag, XS","Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0425,18th and Walnut LLC,Denied,4202923131,"Landon Caryall Duffel Bag, S","Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0426,"American Ground Screw, Inc.",Denied,7326908688,Ground Screw,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0427,"Picnic Time, Inc.",Denied,9401790035,Outdoor Furniture,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0428,18th and Walnut LLC,Denied,4202923131,"Landon Caryall Duffel Bag, M","Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0429,The Michaels Companies,Denied,4820102010,Journals,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0430,"Pacific Bridge Packaging, Inc.",Denied,7310210050,Non-Standard Tin-Plated Steel Cans,"Sep 30, 2019","Oct 14, 2019"
USTR-2019-0005-0431,"Pacific Bridge Packaging, Inc.",Denied,7310210050,Custom Empty Tin Cans for Car Wax,"Sep 30, 2019","Oct 14, 2019"
USTR-2019-0005-0432,"Avanti Linens, Inc.",Denied,5703308030,Man-Made Machine Tufted Rugs.,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0435,18th and Walnut LLC,Denied,4202923131,"Landon Caryall Duffel Bag, L","Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0436,Asia Aroma Holding Inc.,Denied,2915394550,Iso Amyl Acetate,"Sep 23, 2019","Oct 7, 2019"
USTR-2019-0005-0439,18th and Walnut LLC,Denied,4202923131,"Landon Caryall Duffel Bag, XL","Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0440,The Michaels Companies,Denied,4823690020,Baking Cups,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0441,18th and Walnut LLC,Denied,4202923131,Ace Fanny Pack,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0442,18th and Walnut LLC,Denied,4202923131,Laptop Bag,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0443,The Michaels Companies,Denied,4823906700,Coated Paper Products,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0444,18th and Walnut LLC,Denied,4202923131,Laptop Sleeve,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0445,18th and Walnut LLC,Denied,4202923131,Scout Pouch Bag,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0446,KPL Scaffold Inc.,Denied,7308400000,Scaffold,"Jul 3, 2019","Jul 17, 2019"
USTR-2019-0005-0447,18th and Walnut LLC,Denied,4202923131,Parker Air Mesh Pouch Bag,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0448,18th and Walnut LLC,Denied,4202923131,Arlo Tech Pouch,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0450,The Michaels Companies,Denied,4823908600,Die Cut Paper Shapes,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0451,The Michaels Companies,Denied,5901904000,Artist Canvas,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0453,The Michaels Companies,Denied,6701003000,Feathers,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0456,Patriot Timber Products,Denied,4412395030,RevBead®,"Jul 2, 2019","Jul 16, 2019"
USTR-2019-0005-0457,FOHSE INC,Granted,9405408440,A3i LED Lighting Fixture,"Jul 3, 2019","Jul 17, 2019"
USTR-2019-0005-0462,18th and Walnut LLC,Denied,4202219000,Lola Pouch Bag,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0465,18th and Walnut LLC,Denied,4202923131,Hunter Toiletry Bag,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0466,18th and Walnut LLC,Denied,4202921500,"Signature Tote Bag, Legend","Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0467,18th and Walnut LLC,Denied,4202921500,"Signature Tote Bag, Classic","Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0469,Continental Industries Group Inc,Denied,2834105000,Calcium Nitrite,"Jul 1, 2019","Jul 15, 2019"
USTR-2019-0005-0473,18th and Walnut LLC,Denied,4202921500,"Signature Tote Bag, Midi","Jul 2, 2019","Jul 16, 2019"
USTR-2019-0005-0474,18th and Walnut LLC,Denied,4202921500,"Signature Tote Bag, Petite","Jul 2, 2019","Jul 16, 2019"
